Public Health Information Management System - Employee List
Generated: 12/04/2025 04:32:01

Enterprise,Organization,Employee ID,Name,Email,Phone,Position
"Centers for Disease Control","CDC Administration","EMP-1000","Admin John Smith","admin.cdc@cdc.gov","(404) 555-0001","CDC System Administrator"
"Centers for Disease Control","Disease Surveillance Division","EMP-1001","Dr. Sarah Johnson","sarah.johnson@cdc.gov","(404) 555-0101","Chief Epidemiologist"
"Centers for Disease Control","Disease Surveillance Division","EMP-1002","Dr. Michael Chen","michael.chen@cdc.gov","(404) 555-0102","Senior Epidemiologist"
"Centers for Disease Control","Disease Surveillance Division","EMP-1003","Jennifer Williams","jennifer.williams@cdc.gov","(404) 555-0103","Data Analyst"
"Centers for Disease Control","Disease Surveillance Division","EMP-1004","Dr. David Davis","dr..david.davis@cdc.gov","(405) 609-0385","Epidemiologist Staff"
"Centers for Disease Control","Disease Surveillance Division","EMP-1005","Dr. David Hernandez","dr..david.hernandez@cdc.gov","(271) 863-5411","Epidemiologist Staff"
"Centers for Disease Control","Disease Surveillance Division","EMP-1006","Dr. Sarah Williams","dr..sarah.williams@cdc.gov","(147) 822-4282","Epidemiologist Staff"
"Centers for Disease Control","Disease Surveillance Division","EMP-1007","Dr. Lisa Miller","dr..lisa.miller@cdc.gov","(637) 384-9199","Epidemiologist Staff"
"Centers for Disease Control","Disease Surveillance Division","EMP-1008","Dr. John Garcia","dr..john.garcia@cdc.gov","(498) 914-5874","Epidemiologist Senior"
"Centers for Disease Control","Disease Surveillance Division","EMP-1009","Dr. John Hernandez","dr..john.hernandez@cdc.gov","(875) 446-2794","Epidemiologist Lead"
"Centers for Disease Control","Disease Surveillance Division","EMP-1010","Michael Lopez","michael.lopez@cdc.gov","(883) 214-1731","Data Analyst Associate"
"Centers for Disease Control","Disease Surveillance Division","EMP-1011","Jennifer Miller","jennifer.miller@cdc.gov","(203) 546-4731","Data Analyst Staff"
"Centers for Disease Control","Disease Surveillance Division","EMP-1012","Patricia Williams","patricia.williams@cdc.gov","(285) 138-9741","Data Analyst Lead"
"Centers for Disease Control","Disease Surveillance Division","EMP-1013","Michael Martinez","michael.martinez@cdc.gov","(231) 296-5059","Data Analyst Chief"
"Centers for Disease Control","Disease Surveillance Division","EMP-1014","Robert Davis","robert.davis@cdc.gov","(157) 655-2852","Data Analyst Staff"
"Centers for Disease Control","Disease Surveillance Division","EMP-1015","William Smith","william.smith@cdc.gov","(734) 852-4254","Data Analyst Chief"
"Centers for Disease Control","Vaccine Distribution Coordination","EMP-1016","Robert Martinez","robert.martinez@cdc.gov","(404) 555-0201","Distribution Coordinator"
"Centers for Disease Control","Vaccine Distribution Coordination","EMP-1017","Lisa Anderson","lisa.anderson@cdc.gov","(404) 555-0202","Senior Distribution Coordinator"
"Centers for Disease Control","Vaccine Distribution Coordination","EMP-1018","John Smith","john.smith@cdc.gov","(584) 156-6081","Distribution Coordinator Staff"
"Centers for Disease Control","Vaccine Distribution Coordination","EMP-1019","Lisa Miller","lisa.miller@cdc.gov","(798) 710-9506","Distribution Coordinator Chief"
"Centers for Disease Control","Vaccine Distribution Coordination","EMP-1020","Patricia Martinez","patricia.martinez@cdc.gov","(899) 137-3623","Distribution Coordinator Chief"
"Centers for Disease Control","Vaccine Distribution Coordination","EMP-1021","David Jones","david.jones@cdc.gov","(391) 683-5758","Distribution Coordinator Senior"
"Centers for Disease Control","Vaccine Distribution Coordination","EMP-1022","John Hernandez","john.hernandez@cdc.gov","(234) 560-6622","Distribution Coordinator Lead"
"Centers for Disease Control","Vaccine Distribution Coordination","EMP-1023","Mary Johnson","mary.johnson@cdc.gov","(580) 155-7409","Distribution Coordinator Lead"
"Centers for Disease Control","Vaccine Distribution Coordination","EMP-1024","Patricia Rodriguez","patricia.rodriguez@cdc.gov","(462) 703-3189","Distribution Coordinator Junior"
"Centers for Disease Control","Vaccine Distribution Coordination","EMP-1025","Lisa Miller","lisa.miller@cdc.gov","(945) 594-9795","Distribution Coordinator Senior"
"Centers for Disease Control","Vaccine Distribution Coordination","EMP-1026","Michael Johnson","michael.johnson@cdc.gov","(846) 439-3033","Distribution Coordinator Senior"
"Centers for Disease Control","Vaccine Distribution Coordination","EMP-1027","William Hernandez","william.hernandez@cdc.gov","(603) 915-1017","Distribution Coordinator Lead"
"New York State Health Department","State Health Administration","EMP-1028","Admin Mary Johnson","admin.state@health.ny.gov","(518) 555-0001","State System Administrator"
"New York State Health Department","Public Health Services","EMP-1029","Dr. Emily Thompson","emily.thompson@health.ny.gov","(518) 555-0301","Public Health Officer"
"New York State Health Department","Public Health Services","EMP-1030","Dr. David Brown","david.brown@health.ny.gov","(518) 555-0302","Senior Public Health Officer"
"New York State Health Department","Public Health Services","EMP-1031","Dr. Mary Davis","dr..mary.davis@health.ny.gov","(841) 566-1514","Public Health Officer Associate"
"New York State Health Department","Public Health Services","EMP-1032","Dr. Richard Jones","dr..richard.jones@health.ny.gov","(681) 460-2569","Public Health Officer Principal"
"New York State Health Department","Public Health Services","EMP-1033","Dr. Mary Lopez","dr..mary.lopez@health.ny.gov","(993) 921-3493","Public Health Officer Senior"
"New York State Health Department","Public Health Services","EMP-1034","Dr. Sarah Rodriguez","dr..sarah.rodriguez@health.ny.gov","(453) 560-1285","Public Health Officer Lead"
"New York State Health Department","Public Health Services","EMP-1035","Dr. Emily Smith","dr..emily.smith@health.ny.gov","(536) 926-4117","Public Health Officer Associate"
"New York State Health Department","Public Health Services","EMP-1036","Dr. Emily Brown","dr..emily.brown@health.ny.gov","(803) 778-2316","Public Health Officer Junior"
"New York State Health Department","Public Health Services","EMP-1037","Dr. Richard Martinez","dr..richard.martinez@health.ny.gov","(264) 676-6203","Public Health Officer Principal"
"New York State Health Department","Public Health Services","EMP-1038","Dr. Emily Hernandez","dr..emily.hernandez@health.ny.gov","(141) 295-2243","Public Health Officer Senior"
"New York State Health Department","Healthcare Provider Registry","EMP-1039","Patricia Davis","patricia.davis@health.ny.gov","(518) 555-0401","Provider Coordinator"
"New York State Health Department","Healthcare Provider Registry","EMP-1040","James Wilson","james.wilson@health.ny.gov","(518) 555-0402","Senior Provider Coordinator"
"New York State Health Department","Healthcare Provider Registry","EMP-1041","Lisa Lopez","lisa.lopez@health.ny.gov","(894) 450-3366","Provider Coordinator Lead"
"New York State Health Department","Healthcare Provider Registry","EMP-1042","Emily Martinez","emily.martinez@health.ny.gov","(826) 920-4874","Provider Coordinator Junior"
"New York State Health Department","Healthcare Provider Registry","EMP-1043","Michael Miller","michael.miller@health.ny.gov","(716) 721-9300","Provider Coordinator Junior"
"New York State Health Department","Healthcare Provider Registry","EMP-1044","Thomas Miller","thomas.miller@health.ny.gov","(822) 622-4162","Provider Coordinator Chief"
"New York State Health Department","Healthcare Provider Registry","EMP-1045","Jane Miller","jane.miller@health.ny.gov","(333) 847-3294","Provider Coordinator Chief"
"New York State Health Department","Healthcare Provider Registry","EMP-1046","Thomas Lopez","thomas.lopez@health.ny.gov","(657) 292-9700","Provider Coordinator Chief"
"Northeast Healthcare Provider Network","Provider Network Administration","EMP-1047","Admin Robert Wilson","admin.provider@nrmc.org","(212) 555-0001","Provider Network Administrator"
"Northeast Healthcare Provider Network","Northeast Regional Medical Center","EMP-1048","Dr. Amanda Garcia","amanda.garcia@nrmc.org","(212) 555-0501","Hospital Administrator"
"Northeast Healthcare Provider Network","Northeast Regional Medical Center","EMP-1049","Nurse Maria Rodriguez","maria.rodriguez@nrmc.org","(212) 555-0502","Nurse Practitioner"
"Northeast Healthcare Provider Network","Northeast Regional Medical Center","EMP-1050","Nurse John Miller","john.miller@nrmc.org","(212) 555-0503","Nurse Practitioner"
"Northeast Healthcare Provider Network","Northeast Regional Medical Center","EMP-1051","Dr. Robert Garcia","dr..robert.garcia@nrmc.org","(854) 533-3211","Hospital Administrator Junior"
"Northeast Healthcare Provider Network","Northeast Regional Medical Center","EMP-1052","Dr. Lisa Rodriguez","dr..lisa.rodriguez@nrmc.org","(921) 323-3541","Hospital Administrator Lead"
"Northeast Healthcare Provider Network","Northeast Regional Medical Center","EMP-1053","Dr. Lisa Rodriguez","dr..lisa.rodriguez@nrmc.org","(661) 208-7859","Hospital Administrator Lead"
"Northeast Healthcare Provider Network","Northeast Regional Medical Center","EMP-1054","Dr. Mary Gonzalez","dr..mary.gonzalez@nrmc.org","(505) 756-0254","Hospital Administrator Chief"
"Northeast Healthcare Provider Network","Northeast Regional Medical Center","EMP-1055","Dr. Thomas Williams","dr..thomas.williams@nrmc.org","(285) 720-6556","Hospital Administrator Lead"
"Northeast Healthcare Provider Network","Northeast Regional Medical Center","EMP-1056","Nurse William Rodriguez","nurse.william.rodriguez@nrmc.org","(206) 490-7855","Nurse Practitioner"
"Northeast Healthcare Provider Network","Northeast Regional Medical Center","EMP-1057","Nurse Lisa Miller","nurse.lisa.miller@nrmc.org","(583) 705-1050","Nurse Practitioner"
"Northeast Healthcare Provider Network","Northeast Regional Medical Center","EMP-1058","Nurse Thomas Davis","nurse.thomas.davis@nrmc.org","(585) 860-2180","Nurse Practitioner"
"Northeast Healthcare Provider Network","Northeast Regional Medical Center","EMP-1059","Nurse Mary Rodriguez","nurse.mary.rodriguez@nrmc.org","(737) 882-8877","Nurse Practitioner"
"Northeast Healthcare Provider Network","Northeast Regional Medical Center","EMP-1060","Nurse Robert Brown","nurse.robert.brown@nrmc.org","(208) 489-6339","Nurse Practitioner"
"Northeast Healthcare Provider Network","Northeast Regional Medical Center","EMP-1061","Nurse Lisa Lopez","nurse.lisa.lopez@nrmc.org","(165) 594-0725","Nurse Practitioner"
"Northeast Healthcare Provider Network","Northeast Regional Medical Center","EMP-1062","Nurse Thomas Davis","nurse.thomas.davis@nrmc.org","(438) 356-6076","Nurse Practitioner"
"Northeast Healthcare Provider Network","Brooklyn Community Health Clinic","EMP-1063","Dr. Christopher Lee","christopher.lee@bchc.org","(718) 555-0601","Clinic Manager"
"Northeast Healthcare Provider Network","Brooklyn Community Health Clinic","EMP-1064","Nurse Susan Taylor","susan.taylor@bchc.org","(718) 555-0602","Nurse Practitioner"
"Northeast Healthcare Provider Network","Brooklyn Community Health Clinic","EMP-1065","Nurse Kevin White","kevin.white@bchc.org","(718) 555-0603","Nurse Practitioner"
"Northeast Healthcare Provider Network","Brooklyn Community Health Clinic","EMP-1066","Dr. Lisa Rodriguez","dr..lisa.rodriguez@bchc.org","(608) 922-2078","Clinic Manager Principal"
"Northeast Healthcare Provider Network","Brooklyn Community Health Clinic","EMP-1067","Dr. Mary Lopez","dr..mary.lopez@bchc.org","(316) 181-5106","Clinic Manager Senior"
"Northeast Healthcare Provider Network","Brooklyn Community Health Clinic","EMP-1068","Dr. Thomas Jones","dr..thomas.jones@bchc.org","(294) 925-0190","Clinic Manager Associate"
"Northeast Healthcare Provider Network","Brooklyn Community Health Clinic","EMP-1069","Dr. John Hernandez","dr..john.hernandez@bchc.org","(954) 330-8574","Clinic Manager Principal"
"Northeast Healthcare Provider Network","Brooklyn Community Health Clinic","EMP-1070","Nurse Mary Garcia","nurse.mary.garcia@bchc.org","(889) 271-7308","Nurse Practitioner"
"Northeast Healthcare Provider Network","Brooklyn Community Health Clinic","EMP-1071","Nurse Lisa Brown","nurse.lisa.brown@bchc.org","(473) 343-4182","Nurse Practitioner"
"Northeast Healthcare Provider Network","Brooklyn Community Health Clinic","EMP-1072","Nurse James Lopez","nurse.james.lopez@bchc.org","(881) 607-6398","Nurse Practitioner"
"Northeast Healthcare Provider Network","Brooklyn Community Health Clinic","EMP-1073","Nurse David Williams","nurse.david.williams@bchc.org","(783) 321-5798","Nurse Practitioner"
"Northeast Healthcare Provider Network","Brooklyn Community Health Clinic","EMP-1074","Nurse Mary Martinez","nurse.mary.martinez@bchc.org","(244) 989-5274","Nurse Practitioner"
